Train: 3872 Test: 968

Testing config: {'hidden_dims': (256, 256), 'dropout': 0.0, 'lr': 0.001, 'weight_decay': 0.0}
Epoch 166: train 1.5682e-02 | val 3.7827e-02
Epoch 167: train 1.5715e-02 | val 3.8305e-02
Epoch 168: train 1.5738e-02 | val 3.8788e-02
Epoch 169: train 1.5693e-02 | val 3.7891e-02
Epoch 170: train 1.5663e-02 | val 3.8088e-02
Epoch 171: train 1.5663e-02 | val 3.7852e-02
Epoch 172: train 1.5644e-02 | val 3.8017e-02
Epoch 173: train 1.5672e-02 | val 3.7837e-02
Epoch 174: train 1.5712e-02 | val 3.8176e-02
Epoch 175: train 1.5651e-02 | val 3.8191e-02
Epoch 176: train 1.5663e-02 | val 3.8108e-02
Epoch 177: train 1.5696e-02 | val 3.7844e-02
Epoch 178: train 1.5676e-02 | val 3.8807e-02
Epoch 179: train 1.5622e-02 | val 3.7817e-02
Epoch 180: train 1.5658e-02 | val 3.8184e-02
Epoch 181: train 1.5662e-02 | val 3.7641e-02
Epoch 182: train 1.5620e-02 | val 3.8484e-02
Epoch 183: train 1.5636e-02 | val 3.7912e-02
Epoch 184: train 1.5618e-02 | val 3.7657e-02
Epoch 185: train 1.5628e-02 | val 3.7460e-02
Epoch 186: train 1.5622e-02 | val 3.8173e-02
Epoch 187: train 1.5672e-02 | val 3.7777e-02
Epoch 188: train 1.5645e-02 | val 3.8149e-02
Epoch 189: train 1.5611e-02 | val 3.7821e-02
Epoch 190: train 1.5616e-02 | val 3.8176e-02
Epoch 191: train 1.5613e-02 | val 3.8270e-02
Epoch 192: train 1.5596e-02 | val 3.8517e-02
Epoch 193: train 1.5599e-02 | val 3.8219e-02
Epoch 194: train 1.5634e-02 | val 3.8760e-02
Epoch 195: train 1.5619e-02 | val 3.8500e-02
Epoch 196: train 1.5645e-02 | val 3.8966e-02
Epoch 197: train 1.5647e-02 | val 3.7558e-02
Epoch 198: train 1.5626e-02 | val 3.7976e-02
Epoch 199: train 1.5626e-02 | val 3.8563e-02
Epoch 200: train 1.5614e-02 | val 3.8231e-02
Epoch 201: train 1.5653e-02 | val 3.8001e-02
Epoch 202: train 1.5631e-02 | val 3.7335e-02
Epoch 203: train 1.5590e-02 | val 3.7451e-02
Epoch 204: train 1.5611e-02 | val 3.7207e-02
Epoch 205: train 1.5631e-02 | val 3.7852e-02
Epoch 206: train 1.5585e-02 | val 3.7946e-02
Epoch 207: train 1.5601e-02 | val 3.7323e-02
Epoch 208: train 1.5584e-02 | val 3.7702e-02
Epoch 209: train 1.5575e-02 | val 3.7405e-02
Epoch 210: train 1.5589e-02 | val 3.8200e-02
Epoch 211: train 1.5567e-02 | val 3.7749e-02
Epoch 212: train 1.5579e-02 | val 3.7942e-02
Epoch 213: train 1.5588e-02 | val 3.8054e-02
Epoch 214: train 1.5664e-02 | val 3.7772e-02
Epoch 215: train 1.5628e-02 | val 3.7388e-02
Epoch 216: train 1.5607e-02 | val 3.7032e-02
Epoch 217: train 1.5615e-02 | val 3.7435e-02
Epoch 218: train 1.5606e-02 | val 3.7379e-02
Epoch 219: train 1.5593e-02 | val 3.7935e-02
Epoch 220: train 1.5565e-02 | val 3.7601e-02
Epoch 221: train 1.5565e-02 | val 3.8191e-02
Epoch 222: train 1.5567e-02 | val 3.6975e-02
Epoch 223: train 1.5586e-02 | val 3.7781e-02
Epoch 224: train 1.5578e-02 | val 3.7659e-02
Epoch 225: train 1.5571e-02 | val 3.7323e-02
Epoch 226: train 1.5569e-02 | val 3.7699e-02
Epoch 227: train 1.5581e-02 | val 3.6830e-02
Epoch 228: train 1.5572e-02 | val 3.7200e-02
Epoch 229: train 1.5577e-02 | val 3.7431e-02
Epoch 230: train 1.5560e-02 | val 3.7234e-02
Epoch 231: train 1.5567e-02 | val 3.6839e-02
Epoch 232: train 1.5557e-02 | val 3.7274e-02
