Train: 2400 Test: 600

Testing config: {'hidden_dims': (256, 256), 'dropout': 0.0, 'lr': 0.001, 'weight_decay': 0.0}
Epoch 145: train 1.4560e-02 | val 5.9155e-02
Epoch 146: train 1.4556e-02 | val 5.9687e-02
Epoch 147: train 1.4548e-02 | val 5.9781e-02
Epoch 148: train 1.4527e-02 | val 5.9549e-02
Epoch 149: train 1.4517e-02 | val 5.9583e-02
Epoch 150: train 1.4515e-02 | val 5.9419e-02
Epoch 151: train 1.4518e-02 | val 5.8952e-02
Epoch 152: train 1.4503e-02 | val 5.9812e-02
Epoch 153: train 1.4488e-02 | val 6.0261e-02
Epoch 154: train 1.4470e-02 | val 5.9936e-02
Epoch 155: train 1.4458e-02 | val 5.9795e-02
Epoch 156: train 1.4445e-02 | val 6.0645e-02
Epoch 157: train 1.4431e-02 | val 5.9970e-02
Epoch 158: train 1.4424e-02 | val 5.9738e-02
Epoch 159: train 1.4419e-02 | val 6.0847e-02
Epoch 160: train 1.4442e-02 | val 5.9493e-02
Epoch 161: train 1.4466e-02 | val 6.0590e-02
Epoch 162: train 1.4419e-02 | val 6.0565e-02
Epoch 163: train 1.4392e-02 | val 5.9837e-02
Epoch 164: train 1.4398e-02 | val 6.0756e-02
Epoch 165: train 1.4382e-02 | val 6.0066e-02
Epoch 166: train 1.4374e-02 | val 6.1391e-02
Epoch 167: train 1.4370e-02 | val 6.0328e-02
Epoch 168: train 1.4349e-02 | val 6.1337e-02
Epoch 169: train 1.4343e-02 | val 6.0492e-02
Epoch 170: train 1.4332e-02 | val 6.0913e-02
Epoch 171: train 1.4337e-02 | val 6.1585e-02
Epoch 172: train 1.4361e-02 | val 6.0128e-02
Epoch 173: train 1.4354e-02 | val 6.0870e-02
Epoch 174: train 1.4336e-02 | val 6.1003e-02
Epoch 175: train 1.4323e-02 | val 6.0046e-02
Epoch 176: train 1.4319e-02 | val 6.1732e-02
Epoch 177: train 1.4309e-02 | val 6.1660e-02
Epoch 178: train 1.4297e-02 | val 6.1536e-02
Epoch 179: train 1.4301e-02 | val 6.1613e-02
Epoch 180: train 1.4290e-02 | val 6.1409e-02
Epoch 181: train 1.4294e-02 | val 6.1309e-02
Epoch 182: train 1.4282e-02 | val 6.1624e-02
Epoch 183: train 1.4288e-02 | val 6.1738e-02
Epoch 184: train 1.4277e-02 | val 6.2157e-02
Epoch 185: train 1.4268e-02 | val 6.2173e-02
Epoch 186: train 1.4259e-02 | val 6.1335e-02
Epoch 187: train 1.4267e-02 | val 6.1251e-02
Epoch 188: train 1.4269e-02 | val 6.2246e-02
Epoch 189: train 1.4257e-02 | val 6.0876e-02
Epoch 190: train 1.4247e-02 | val 6.2071e-02
Epoch 191: train 1.4227e-02 | val 6.2413e-02
