Train: 4100 Test: 700

Testing config: {'hidden_dims': (256, 256), 'dropout': 0.0, 'lr': 0.001, 'weight_decay': 0.0}
Epoch 054: train 3.5942e-02 | val 3.8956e-02
Epoch 055: train 3.5889e-02 | val 3.9298e-02
Epoch 056: train 3.5903e-02 | val 3.9300e-02
Epoch 057: train 3.5892e-02 | val 3.8195e-02
Epoch 058: train 3.5868e-02 | val 3.9700e-02
Epoch 059: train 3.5904e-02 | val 3.8667e-02
Epoch 060: train 3.5913e-02 | val 3.9069e-02
Epoch 061: train 3.5901e-02 | val 4.0904e-02
Epoch 062: train 3.5902e-02 | val 3.9320e-02
Epoch 063: train 3.5864e-02 | val 4.1514e-02
Epoch 064: train 3.5935e-02 | val 4.0363e-02
Epoch 065: train 3.5904e-02 | val 3.8814e-02
Epoch 066: train 3.5821e-02 | val 3.9422e-02
Epoch 067: train 3.5854e-02 | val 3.9690e-02
Epoch 068: train 3.5836e-02 | val 3.9024e-02
Epoch 069: train 3.5843e-02 | val 3.8459e-02
Epoch 070: train 3.5887e-02 | val 4.0245e-02
Epoch 071: train 3.5919e-02 | val 3.8439e-02
Epoch 072: train 3.5864e-02 | val 3.8280e-02
Epoch 073: train 3.5882e-02 | val 3.9020e-02
Epoch 074: train 3.5846e-02 | val 3.9578e-02
Epoch 075: train 3.5809e-02 | val 3.9011e-02
Epoch 076: train 3.5803e-02 | val 3.8299e-02
Epoch 077: train 3.5860e-02 | val 3.8190e-02
Epoch 078: train 3.5839e-02 | val 3.8543e-02
Epoch 079: train 3.5787e-02 | val 3.9263e-02
Epoch 080: train 3.5802e-02 | val 3.8726e-02
Epoch 081: train 3.5814e-02 | val 3.8780e-02
Epoch 082: train 3.5789e-02 | val 3.9039e-02
Epoch 083: train 3.5749e-02 | val 3.8272e-02
Epoch 084: train 3.5771e-02 | val 3.9030e-02
Epoch 085: train 3.5814e-02 | val 3.9122e-02
Epoch 086: train 3.5816e-02 | val 3.8517e-02
Epoch 087: train 3.5803e-02 | val 3.9242e-02
Epoch 088: train 3.5767e-02 | val 3.9203e-02
Epoch 089: train 3.5780e-02 | val 3.8889e-02
Epoch 090: train 3.5750e-02 | val 3.8482e-02
Epoch 091: train 3.5759e-02 | val 3.8884e-02
Epoch 092: train 3.5793e-02 | val 3.8500e-02
Epoch 093: train 3.5741e-02 | val 3.8789e-02
Epoch 094: train 3.5765e-02 | val 3.8865e-02
Epoch 095: train 3.5765e-02 | val 3.8861e-02
Epoch 096: train 3.5737e-02 | val 3.8928e-02
Epoch 097: train 3.5695e-02 | val 3.8967e-02
Epoch 098: train 3.5813e-02 | val 3.7945e-02
Epoch 099: train 3.5983e-02 | val 3.7901e-02
Epoch 100: train 3.5791e-02 | val 3.9401e-02
Epoch 101: train 3.5712e-02 | val 3.9340e-02
Epoch 102: train 3.5759e-02 | val 3.8876e-02
Epoch 103: train 3.5712e-02 | val 3.8815e-02
Epoch 104: train 3.6189e-02 | val 3.9771e-02
Epoch 105: train 3.5884e-02 | val 3.7779e-02
Epoch 106: train 3.5774e-02 | val 3.8553e-02
Epoch 107: train 3.5739e-02 | val 3.9556e-02
Epoch 108: train 3.5739e-02 | val 3.9160e-02
Epoch 109: train 3.5691e-02 | val 3.8974e-02
Epoch 110: train 3.5709e-02 | val 3.9114e-02
Epoch 111: train 3.5681e-02 | val 3.8851e-02
Epoch 112: train 3.5677e-02 | val 3.8698e-02
Epoch 113: train 3.5666e-02 | val 3.8555e-02
Epoch 114: train 3.5662e-02 | val 3.8878e-02
Epoch 115: train 3.5674e-02 | val 3.8724e-02
Epoch 116: train 3.5682e-02 | val 3.9004e-02
Epoch 117: train 3.5723e-02 | val 3.8554e-02
Epoch 118: train 3.5672e-02 | val 3.9067e-02
Epoch 119: train 3.5690e-02 | val 3.8605e-02
Epoch 120: train 3.5685e-02 | val 3.8963e-02
Epoch 121: train 3.5671e-02 | val 3.8921e-02
Epoch 122: train 3.5763e-02 | val 3.9635e-02
Epoch 123: train 3.5686e-02 | val 3.8969e-02
Epoch 124: train 3.5686e-02 | val 3.9329e-02
Epoch 125: train 3.5679e-02 | val 3.8547e-02
Epoch 126: train 3.5661e-02 | val 3.8922e-02
Epoch 127: train 3.5663e-02 | val 3.8883e-02
Epoch 128: train 3.5654e-02 | val 3.8697e-02
Epoch 129: train 3.5698e-02 | val 3.8768e-02
Epoch 130: train 3.5657e-02 | val 3.8442e-02
Epoch 131: train 3.5720e-02 | val 3.8546e-02
Epoch 132: train 3.5666e-02 | val 3.8962e-02
Epoch 133: train 3.5657e-02 | val 3.8713e-02
Epoch 134: train 3.5654e-02 | val 3.9254e-02
Epoch 135: train 3.5659e-02 | val 3.8820e-02
Epoch 136: train 3.5634e-02 | val 3.8318e-02
Epoch 137: train 3.5660e-02 | val 3.8381e-02
Epoch 138: train 3.5656e-02 | val 3.8887e-02
Epoch 139: train 3.5635e-02 | val 3.8834e-02
Epoch 140: train 3.5656e-02 | val 3.8755e-02
Epoch 141: train 3.5649e-02 | val 3.8349e-02
Epoch 142: train 3.5627e-02 | val 3.8243e-02
Epoch 143: train 3.5624e-02 | val 3.8737e-02
Epoch 144: train 3.5627e-02 | val 3.8453e-02
Epoch 145: train 3.5609e-02 | val 3.8802e-02
Epoch 146: train 3.5626e-02 | val 3.8675e-02
Epoch 147: train 3.5626e-02 | val 3.8770e-02
Epoch 148: train 3.5635e-02 | val 3.8314e-02
Epoch 149: train 3.5642e-02 | val 3.8553e-02
Epoch 150: train 3.5644e-02 | val 3.8594e-02
Epoch 151: train 3.5609e-02 | val 3.8792e-02
Epoch 152: train 3.5630e-02 | val 3.8686e-02
Epoch 153: train 3.5598e-02 | val 3.9190e-02
Epoch 154: train 3.5690e-02 | val 3.9580e-02
Epoch 155: train 3.5718e-02 | val 4.0153e-02
Epoch 156: train 3.5677e-02 | val 3.9301e-02
Epoch 157: train 3.5593e-02 | val 3.9431e-02
Epoch 158: train 3.5625e-02 | val 3.8435e-02
Epoch 159: train 3.5605e-02 | val 3.8794e-02
Epoch 160: train 3.5608e-02 | val 3.8655e-02
Epoch 161: train 3.5749e-02 | val 3.8371e-02
Epoch 162: train 3.5659e-02 | val 3.8392e-02
Epoch 163: train 3.5615e-02 | val 3.8665e-02
Epoch 164: train 3.5591e-02 | val 3.8693e-02
Epoch 165: train 3.5627e-02 | val 3.9073e-02
Epoch 166: train 3.5617e-02 | val 3.8500e-02
Epoch 167: train 3.5572e-02 | val 3.8292e-02
Epoch 168: train 3.5601e-02 | val 3.8314e-02
Epoch 169: train 3.5596e-02 | val 3.8736e-02
Epoch 170: train 3.5587e-02 | val 3.8447e-02
Epoch 171: train 3.5616e-02 | val 3.8011e-02
Epoch 172: train 3.5594e-02 | val 3.8079e-02
Epoch 173: train 3.5602e-02 | val 3.8324e-02
Epoch 174: train 3.5586e-02 | val 3.8518e-02
Epoch 175: train 3.5593e-02 | val 3.8268e-02
Epoch 176: train 3.5589e-02 | val 3.8245e-02
Epoch 177: train 3.5596e-02 | val 3.8173e-02
Epoch 178: train 3.5599e-02 | val 3.8449e-02
Epoch 179: train 3.5583e-02 | val 3.8917e-02
Epoch 180: train 3.5582e-02 | val 3.8552e-02
Epoch 181: train 3.5587e-02 | val 3.8480e-02
Epoch 182: train 3.5596e-02 | val 3.8212e-02
Epoch 183: train 3.5561e-02 | val 3.8292e-02
Epoch 184: train 3.5539e-02 | val 3.8141e-02
Epoch 185: train 3.5558e-02 | val 3.8446e-02
Epoch 186: train 3.5560e-02 | val 3.8695e-02
Epoch 187: train 3.5541e-02 | val 3.8819e-02
Epoch 188: train 3.5577e-02 | val 3.8534e-02
Epoch 189: train 3.5630e-02 | val 3.8844e-02
Epoch 190: train 3.5643e-02 | val 3.9089e-02
